,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,Roy_Ritonga,in,2020-11-28 10:33:07,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…","Medan, Sumatera Utara"
1,kadek_susani,in,2020-11-27 14:41:14,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",indonesia
2,updatecpns_com,in,2020-11-27 13:41:51,1,0,Hai hai #sobatBKN kesayangan gimana kabarnya? Mimin mau nyampein kabar gembira nih buat #sobatBKN yang dari kemaren… https://t.co/0jLQ3aX9Tv,
3,updatecpns_com,in,2020-11-27 13:40:43,2,0,"Update Pertek dan Penetapan NIP #CPNS2019.
Hingga hari ini Jumat (27/11/2020) telah terbit Pertek dan Penetapan NIP… https://t.co/yYYAcMu58Y",
4,4dysuryanugraha,in,2020-11-26 12:30:01,0,7,"RT @BKNgoid: Hai #SobatBKN, terkait surat usulan Uji Kompetensi Kenaikan Jenjang Jabatan Fungsional Analis Kepegawaian dan Auditor Kepegawa…",Sidoarjo|Jawa Timur|Indonesia
5,mutmainnahmust_,in,2020-11-26 04:01:59,0,7,"RT @BKNgoid: Hai #SobatBKN, terkait surat usulan Uji Kompetensi Kenaikan Jenjang Jabatan Fungsional Analis Kepegawaian dan Auditor Kepegawa…","Kota Makassar, Sulawesi Selata"
6,BKNgoid,in,2020-11-26 04:00:19,110,7,"Hai #SobatBKN, terkait surat usulan Uji Kompetensi Kenaikan Jenjang Jabatan Fungsional Analis Kepegawaian dan Audit… https://t.co/zDiSa5rjzD","Jakarta, Indonesia"
7,Irma60936814,in,2020-11-24 13:43:56,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",
8,bayuzigner,in,2020-11-24 11:27:59,0,300,"RT @BKNgoid: #SobatBKN, Penetapan TMT Peserta Lulus Seleksi CPNS 2019 Bergantung Usul Masuk Instansi https://t.co/UubdX3JUJN",Instagram.com/bayualdit
9,ari_014nugroho,in,2020-11-24 04:17:44,0,69,"RT @BKNgoid: #SobatBKN, Mimin mau ingetin buat kalian kalau hari ini adalah batas akhir pemberkasan online #CPNS2019 di portal https://t.co…",Jogjakarta-Semarang
10,mrptrshn,in,2020-11-24 03:05:35,0,5,"RT @BKNgoid: Hai #SobatBKN, Kepala BKN Bima H. Wibisana menyerahkan Pertimbangan Teknis tentang Penugasan PNS di lingkungan BP Batam kepada…","Tanjung Pinang City, Indonesia"
11,bankdann,in,2020-11-23 10:57:04,0,387,"RT @BKNgoid: Selamat pagi, keberkahan u/ kita semua. 

Perlu #SobatBKN tahu, stl berkas #CPNS2018 diterima &amp; diverval oleh BKN, kami akan t…",
